"","Type","Date","Part of a policing operation","Policing operation","Gender","Age range","Self-defined ethnicity","Officer-defined ethnicity","Legislation","Object of search","Outcome","Outcome linked to object of search","Removal of more than just outer clothing","label","name","code"
"365","Person search",2019-06-23 17:06:00,FALSE,NA,NA,NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02001057E01005133","Manchester 013D","E01005133"
"366","Person and Vehicle search",2019-06-24 12:00:00,FALSE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033664","Manchester 054D","E01033664"
"367","Person search",2019-06-24 17:38:00,TRUE,NA,"Male",NA,"Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"368","Person search",2019-06-24 18:49:00,TRUE,NA,NA,NA,"Black/African/Caribbean/Black British - Caribbean","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"369","Person search",2019-06-24 21:07:00,TRUE,NA,"Male",NA,"Mixed/Multiple ethnic groups - White and Black Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","Arrest",FALSE,FALSE,"E08000003E02001068E01005246","Manchester 024D","E01005246"
"370","Vehicle search",2019-06-24 21:15:00,FALSE,NA,NA,NA,NA,NA,"Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Arrest",TRUE,FALSE,"E08000003E02001092E01005073","Manchester 048C","E01005073"
"371","Person search",2019-06-24 21:30:00,FALSE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Arrest",TRUE,FALSE,"E08000003E02001095E01005074","Manchester 051C","E01005074"
"372","Person search",2019-06-24 21:30:00,TRUE,NA,NA,NA,"Black/African/Caribbean/Black British - African","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"373","Person search",2019-06-24 21:40:00,TRUE,NA,"Male",NA,"Black/African/Caribbean/Black British - African","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"374","Person and Vehicle search",2019-06-24 21:43:00,FALSE,NA,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02001085E01005124","Manchester 041E","E01005124"
"375","Person search",2019-06-24 21:44:00,FALSE,NA,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Arrest",FALSE,FALSE,"E08000003E02001085E01005124","Manchester 041E","E01005124"
"376","Person search",2019-06-24 22:14:00,TRUE,NA,NA,NA,"Black/African/Caribbean/Black British - African","Black","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"377","Person search",2019-06-24 23:20:00,FALSE,NA,"Male","18-24","Other ethnic group - Not stated","Other","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02001069E01005285","Manchester 025D","E01005285"
"378","Person and Vehicle search",2019-06-25 00:39:00,TRUE,NA,"Male","18-24","Asian/Asian British - Pakistani","Asian","Firearms Act 1968 (section 47)","Firearms","A no further action disposal",NA,FALSE,"E08000003E02001075E01005219","Manchester 031A","E01005219"
"379","Person search",2019-06-25 02:23:00,FALSE,NA,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02001079E01005279","Manchester 035E","E01005279"
"380","Person search",2019-06-25 02:23:00,FALSE,NA,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02001079E01005279","Manchester 035E","E01005279"
"381","Person and Vehicle search",2019-06-25 02:28:00,FALSE,NA,"Male","over 34","Mixed/Multiple ethnic groups - White and Black Caribbean","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02001079E01005279","Manchester 035E","E01005279"
"382","Person search",2019-06-26 15:09:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033661","Manchester 055E","E01033661"
"383","Person search",2019-06-26 15:09:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033661","Manchester 055E","E01033661"
"384","Person search",2019-06-26 18:00:00,TRUE,NA,NA,NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"385","Person search",2019-06-26 18:24:00,FALSE,NA,"Male",NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006916E01005213","Manchester 059A","E01005213"
"386","Vehicle search",2019-06-26 18:24:00,FALSE,NA,NA,NA,NA,NA,"Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006916E01005213","Manchester 059A","E01005213"
"387","Person search",2019-06-26 18:32:00,TRUE,NA,"Male","25-34","Other ethnic group - Not stated","Black","Police and Criminal Evidence Act 1984 (section 1)","Anything to threaten or harm anyone","A no further action disposal",NA,FALSE,"E08000003E02006902E01033667","Manchester 054E","E01033667"
"388","Person search",2019-06-26 19:00:00,TRUE,NA,"Male",NA,"Black/African/Caribbean/Black British - Caribbean","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"389","Person search",2019-06-26 19:40:00,TRUE,NA,NA,"18-24","Asian/Asian British - Pakistani","Asian","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"390","Vehicle search",2019-06-27 13:40:00,FALSE,NA,NA,NA,NA,NA,"Police and Criminal Evidence Act 1984 (section 1)",NA,"Penalty Notice for Disorder",TRUE,FALSE,"E08000003E02006902E01033667","Manchester 054E","E01033667"
"391","Person search",2019-06-27 13:52:00,FALSE,NA,"Male","25-34","Black/African/Caribbean/Black British - African","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"392","Person search",2019-06-27 19:22:00,TRUE,NA,NA,NA,"Black/African/Caribbean/Black British - Caribbean","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"393","Person search",2019-06-27 19:25:00,TRUE,NA,"Male",NA,"Asian/Asian British - Any other Asian background","Other","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"394","Person search",2019-06-27 19:58:00,TRUE,NA,"Male","25-34","Other ethnic group - Not stated","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"395","Person search",2019-06-27 20:30:00,TRUE,NA,"Male","over 34","Black/African/Caribbean/Black British - Caribbean","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
